ticker_a,ticker_b,asset_class,group,subgroup,candidate_tier,overlap_days,return_corr,passes_pair_filter,n_obs,coint_stat,coint_pvalue,adf_stat,adf_pvalue,hedge_ratio,intercept,half_life_days,spread_mean,spread_std,passes_coint_filter,rank_score,train_ticker_a,train_ticker_b,train_execution_convention,train_model_version,train_holding_period_unit,train_formation_days,train_entry_z,train_exit_z,train_round_trip_cost_bps,train_initial_capital,train_gross_notional_per_trade,train_max_holding_sessions,train_stop_z,train_require_rolling_pass,train_require_regime_allowed,train_completed_trades,train_win_rate,train_total_pnl_dollars,train_total_return,train_annualized_return,train_annualized_volatility,train_sharpe,train_max_drawdown,train_exposure_pct,train_first_trade_date,train_last_trade_date,train_avg_days_held,train_median_days_held,train_avg_sessions_held,train_avg_gross_pnl_bps,train_avg_net_pnl_bps,train_total_net_pnl_bps,train_worst_net_pnl_bps,train_best_net_pnl_bps,train_profit_factor,train_max_hold_exit_pct,train_selected_entry_z,train_selected_exit_z,train_selected_max_holding_sessions,train_selected_stop_z,train_selected_hmm_states,train_train_trades_per_year,train_validation_ticker_a,train_validation_ticker_b,train_validation_execution_convention,train_validation_model_version,train_validation_holding_period_unit,train_validation_formation_days,train_validation_entry_z,train_validation_exit_z,train_validation_round_trip_cost_bps,train_validation_initial_capital,train_validation_gross_notional_per_trade,train_validation_max_holding_sessions,train_validation_stop_z,train_validation_require_rolling_pass,train_validation_require_regime_allowed,train_validation_completed_trades,train_validation_win_rate,train_validation_total_pnl_dollars,train_validation_total_return,train_validation_annualized_return,train_validation_annualized_volatility,train_validation_sharpe,train_validation_max_drawdown,train_validation_exposure_pct,train_validation_first_trade_date,train_validation_last_trade_date,train_validation_avg_days_held,train_validation_median_days_held,train_validation_avg_sessions_held,train_validation_avg_gross_pnl_bps,train_validation_avg_net_pnl_bps,train_validation_total_net_pnl_bps,train_validation_worst_net_pnl_bps,train_validation_best_net_pnl_bps,train_validation_profit_factor,train_validation_max_hold_exit_pct,selection_score,validation_tradability_score,fold_id,test_start,test_end
USO,XOP,commodity,energy,energy_commodity,same_subgroup,2512,0.6103278617115457,True,378,-3.6443907167606344,0.02156724180653517,-3.6397077335967527,0.00504573396453082,0.6848607190589622,0.9627723507408774,10.292921934740038,6.068044362104692e-15,0.038400008288861885,True,357.0,USO,XOP,signal_close_t_fill_close_t_plus_1,0.2.0,trading_sessions,252,1.5,0.5,4.0,100000,10000.0,40,3.0,False,False,4,1.0,714.793626342449,0.007147936263424581,0.01434696551967507,0.00873281887340145,1.6355826280121133,-0.003217839169453396,0.5476190476190477,2024-10-08,2024-12-19,17.25,13.5,17.25,182.70313794522394,178.69840658561418,714.7936263424567,80.39123323658701,280.1919221872997,inf,0.25,1.5,0.5,40,3.0,,2.6666666666666665,USO,XOP,signal_close_t_fill_close_t_plus_1,0.2.0,trading_sessions,252,1.5,0.5,4.0,100000,10000.0,40,3.0,False,False,3,1.0,908.7964876283077,0.009087964876283161,0.018258520858158933,0.010679533034752945,1.6996074439120987,-0.003458757968331616,0.30952380952380953,2025-05-01,2025-07-30,13.0,11.0,13.0,306.91680726502415,302.9321625427693,908.7964876283079,219.33754442877742,443.11853039049123,inf,0.0,4.176839731904996,5.903137977284791,1,2025-10-01,2026-04-01
HYD,HYMB,fixed_income,municipal,national_muni,same_subgroup,2512,0.8284771871199127,True,378,-7.812055278796151,8.92528025046988e-11,-7.801455148295705,7.474094916398235e-12,0.8627097602189338,1.141155250601173,1.6523459282930697,1.2858614819600358e-14,0.0023001094319931984,True,418.0,HYD,HYMB,signal_close_t_fill_close_t_plus_1,0.2.0,trading_sessions,252,1.5,0.5,4.0,100000,10000.0,40,3.0,False,False,5,1.0,80.2824244381627,0.0008028242443816058,0.0016062930155305022,0.0007118941523204782,2.2549149841533374,-0.0002755314250532104,0.21428571428571427,2024-09-30,2025-03-14,5.4,3.0,5.4,20.068273048801927,16.056484887630592,80.28242443815296,10.535728963156576,22.21735273984508,inf,0.0,1.5,0.5,40,3.0,,3.3333333333333335,HYD,HYMB,signal_close_t_fill_close_t_plus_1,0.2.0,trading_sessions,252,1.5,0.5,4.0,100000,10000.0,40,3.0,False,False,9,0.5555555555555556,60.203323049485334,0.0006020332304947917,0.0012044289050001655,0.001064484803164423,1.1313163254058327,-0.0006644550220444856,0.5634920634920635,2025-04-10,2025-09-23,7.888888888888889,5.0,7.888888888888889,10.700122292372546,6.689258116611366,60.20332304950229,-40.59025146596821,33.56244531842527,1.9049088369983467,0.0,8.623641662464465,2.151767679400981,1,2025-10-01,2026-04-01
