date,net_daily_pnl,gross_exposure,active_pairs,fold_id,active_pairs_possible,cumulative_pnl,equity,daily_return,gross_exposure_pct
2025-06-12,-4.0,20000.0,2,1,5,-4.0,99996.0,-4e-05,0.2
2025-06-13,-459.47112489673907,20000.0,2,1,5,-463.47112489673907,99536.52887510326,-0.0045947112489673906,0.2
2025-06-16,133.5822417523925,30000.0,3,1,5,-329.88888314434655,99670.11111685565,0.001335822417523925,0.3
2025-06-17,-492.1148916096123,30000.0,3,1,5,-822.0037747539589,99177.99622524604,-0.004921148916096123,0.3
2025-06-18,30.376806729397895,40000.0,4,1,5,-791.6269680245609,99208.37303197544,0.0003037680672939789,0.4
2025-06-20,-115.06204309776359,30000.0,3,1,5,-906.6890111223245,99093.31098887768,-0.001150620430977636,0.3
2025-06-23,285.55423193227483,40000.0,4,1,5,-621.1347791900496,99378.86522080995,0.0028555423193227483,0.4
2025-06-24,625.4589796264866,30000.0,3,1,5,4.324200436436968,100004.32420043644,0.006254589796264865,0.3
2025-06-25,-133.06007169611013,30000.0,3,1,5,-128.73587125967316,99871.26412874032,-0.0013306007169611013,0.3
2025-06-26,34.30188715375866,30000.0,3,1,5,-94.4339841059145,99905.56601589409,0.0003430188715375866,0.3
2025-06-27,120.93820676791408,30000.0,3,1,5,26.504222661999577,100026.504222662,0.0012093820676791409,0.3
2025-06-30,28.06733695970681,30000.0,3,1,5,54.571559621706385,100054.5715596217,0.0002806733695970681,0.3
2025-07-01,22.935320954705016,30000.0,3,1,5,77.5068805764114,100077.50688057642,0.00022935320954705016,0.3
2025-07-02,-465.8238744486251,20000.0,2,1,5,-388.3169938722137,99611.68300612779,-0.004658238744486251,0.2
2025-07-03,15.985943281031272,20000.0,2,1,5,-372.3310505911824,99627.66894940882,0.00015985943281031272,0.2
2025-07-07,-167.71413365224288,20000.0,2,1,5,-540.0451842434253,99459.95481575657,-0.001677141336522429,0.2
2025-07-08,77.14374179142095,20000.0,2,1,5,-462.90144245200435,99537.098557548,0.0007714374179142095,0.2
2025-07-09,-6.59308110482284,20000.0,2,1,5,-469.4945235568272,99530.50547644317,-6.59308110482284e-05,0.2
2025-07-10,136.71120650311786,20000.0,2,1,5,-332.7833170537093,99667.2166829463,0.0013671120650311785,0.2
2025-07-11,-241.05126493608708,20000.0,2,1,5,-573.8345819897963,99426.1654180102,-0.0024105126493608707,0.2
2025-07-14,105.19495517999093,10000.0,1,1,5,-468.6396268098054,99531.3603731902,0.0010519495517999093,0.1
2025-07-15,23.097600063644236,10000.0,1,1,5,-445.5420267461612,99554.45797325384,0.00023097600063644237,0.1
2025-07-16,-13.52372108929439,10000.0,1,1,5,-459.06574783545557,99540.93425216454,-0.00013523721089294392,0.1
2025-07-17,-15.993205681881575,10000.0,1,1,5,-475.05895351733716,99524.94104648267,-0.00015993205681881574,0.1
2025-07-18,1.5363683134166983,10000.0,1,1,5,-473.52258520392047,99526.47741479609,1.5363683134166983e-05,0.1
2025-07-21,-25.062748611474007,10000.0,1,1,5,-498.5853338153945,99501.4146661846,-0.00025062748611474005,0.1
