date,ticker,adj_close
2022-01-03,BNO,21.159999847412109
2022-01-03,OIH,185.46214294433594
2022-01-03,USO,54.830001831054688
2022-01-03,XES,50.371040344238281
2022-01-03,XLE,24.308429718017578
2022-01-03,XOP,89.533302307128906
2022-01-04,BNO,21.450000762939453
2022-01-04,OIH,193.55596923828125
2022-01-04,USO,55.590000152587891
2022-01-04,XES,52.585872650146484
2022-01-04,XLE,25.149581909179688
2022-01-04,XOP,93.376060485839844
2022-01-05,BNO,21.479999542236328
2022-01-05,OIH,190.82044982910156
2022-01-05,USO,55.430000305175781
2022-01-05,XES,51.549755096435547
2022-01-05,XLE,25.145330429077148
2022-01-05,XOP,90.522979736328125
2022-01-06,BNO,21.969999313354492
2022-01-06,OIH,196.52653503417969
2022-01-06,USO,56.889999389648438
2022-01-06,XES,53.232276916503906
2022-01-06,XLE,25.706096649169922
2022-01-06,XOP,93.277984619140625
2022-01-07,BNO,21.959999084472656
2022-01-07,OIH,199.17745971679688
2022-01-07,USO,56.669998168945312
2022-01-07,XES,53.755084991455078
2022-01-07,XLE,26.058708190917969
2022-01-07,XOP,93.349334716796875
2022-01-10,BNO,21.709999084472656
2022-01-10,OIH,199.19625854492188
2022-01-10,USO,56.159999847412109
2022-01-10,XES,53.793102264404297
2022-01-10,XLE,25.977987289428711
2022-01-10,XOP,92.769775390625
2022-01-11,BNO,22.450000762939453
2022-01-11,OIH,207.41227722167969
2022-01-11,USO,58.159999847412109
2022-01-11,XES,55.941410064697266
2022-01-11,XLE,26.861623764038086
2022-01-11,XOP,96.87109375
2022-01-12,BNO,22.700000762939453
2022-01-12,OIH,206.39703369140625
2022-01-12,USO,58.909999847412109
2022-01-12,XES,55.627723693847656
2022-01-12,XLE,26.91259765625
2022-01-12,XOP,97.887519836425781
2022-01-13,BNO,22.489999771118164
2022-01-13,OIH,205.50398254394531
2022-01-13,USO,58.270000457763672
2022-01-13,XES,55.390083312988281
2022-01-13,XLE,26.776655197143555
2022-01-13,XOP,95.9794921875
2022-01-14,BNO,23.170000076293945
2022-01-14,OIH,214.52845764160156
2022-01-14,USO,59.970001220703125
2022-01-14,XES,57.566905975341797
2022-01-14,XLE,27.405393600463867
2022-01-14,XOP,98.9573974609375
2022-01-18,BNO,23.569999694824219
2022-01-18,OIH,211.60490417480469
2022-01-18,USO,60.970001220703125
2022-01-18,XES,56.492755889892578
2022-01-18,XLE,27.515850067138672
2022-01-18,XOP,97.290145874023438
2022-01-19,BNO,23.590000152587891
2022-01-19,OIH,208.1737060546875
2022-01-19,USO,61.049999237060547
2022-01-19,XES,55.494644165039062
2022-01-19,XLE,27.316183090209961
2022-01-19,XOP,96.220230102539062
2022-01-20,BNO,23.420000076293945
2022-01-20,OIH,205.46640014648438
2022-01-20,USO,60.659999847412109
2022-01-20,XES,54.268398284912109
2022-01-20,XLE,27.065536499023438
2022-01-20,XOP,92.992683410644531
2022-01-21,BNO,23.5
2022-01-21,OIH,200.66275024414062
2022-01-21,USO,60.779998779296875
2022-01-21,XES,52.642921447753906
2022-01-21,XLE,26.530263900756836
2022-01-21,XOP,89.64923095703125
2022-01-24,BNO,23.25
2022-01-24,OIH,204.52635192871094
2022-01-24,USO,60.110000610351562
2022-01-24,XES,53.954696655273438
2022-01-24,XLE,26.708683013916016
2022-01-24,XOP,91.26300048828125
2022-01-25,BNO,23.549999237060547
2022-01-25,OIH,215.68472290039062
2022-01-25,USO,60.970001220703125
2022-01-25,XES,56.787425994873047
2022-01-25,XLE,27.745254516601562
2022-01-25,XOP,94.731285095214844
2022-01-26,BNO,23.829999923706055
2022-01-26,OIH,216.60595703125
2022-01-26,USO,61.680000305175781
2022-01-26,XES,56.625835418701172
2022-01-26,XLE,27.698524475097656
2022-01-26,XOP,93.500900268554688
2022-01-27,BNO,23.930000305175781
2022-01-27,OIH,212.75175476074219
2022-01-27,USO,61.860000610351562
2022-01-27,XES,55.295017242431641
2022-01-27,XLE,28.000152587890625
2022-01-27,XOP,93.545478820800781
2022-01-28,BNO,24.049999237060547
2022-01-28,OIH,213.72003173828125
2022-01-28,USO,61.970001220703125
2022-01-28,XES,55.437614440917969
2022-01-28,XLE,27.881200790405273
2022-01-28,XOP,94.526206970214844
2022-01-31,BNO,24.200000762939453
2022-01-31,OIH,212.29112243652344
2022-01-31,USO,62.479999542236328
2022-01-31,XES,55.304527282714844
2022-01-31,XLE,28.004398345947266
2022-01-31,XOP,95.043327331542969
2022-02-01,BNO,24.190000534057617
2022-02-01,OIH,221.06178283691406
2022-02-01,USO,62.529998779296875
2022-02-01,XES,58.127738952636719
2022-02-01,XLE,29.002729415893555
2022-02-01,XOP,99.055496215820312
2022-02-02,BNO,24.219999313354492
2022-02-02,OIH,218.7022705078125
2022-02-02,USO,62.520000457763672
2022-02-02,XES,57.253215789794922
2022-02-02,XLE,29.096197128295898
2022-02-02,XOP,99.715263366699219
2022-02-03,BNO,24.600000381469727
2022-02-03,OIH,215.94793701171875
2022-02-03,USO,63.509998321533203
2022-02-03,XES,56.217079162597656
2022-02-03,XLE,28.820058822631836
2022-02-03,XOP,98.261978149414062
2022-02-04,BNO,25.200000762939453
2022-02-04,OIH,220.34735107421875
2022-02-04,USO,64.910003662109375
2022-02-04,XES,57.633445739746094
2022-02-04,XLE,29.270370483398438
2022-02-04,XOP,99.786590576171875
2022-02-07,BNO,25.069999694824219
2022-02-07,OIH,222.41546630859375
2022-02-07,USO,64.680000305175781
2022-02-07,XES,57.215183258056641
2022-02-07,XLE,29.644208908081055
2022-02-07,XOP,99.1624755859375
2022-02-08,BNO,24.620000839233398
2022-02-08,OIH,217.62120056152344
2022-02-08,USO,63.619998931884766
2022-02-08,XES,55.969932556152344
2022-02-08,XLE,29.006980895996094
2022-02-08,XOP,96.059745788574219
2022-02-09,BNO,24.819999694824219
2022-02-09,OIH,221.15577697753906
2022-02-09,USO,64.169998168945312
2022-02-09,XES,57.044075012207031
2022-02-09,XLE,29.249134063720703
2022-02-09,XOP,98.030174255371094
2022-02-10,BNO,24.719999313354492
2022-02-10,OIH,220.911376953125
2022-02-10,USO,63.959999084472656
2022-02-10,XES,57.044075012207031
2022-02-10,XLE,29.066455841064453
2022-02-10,XOP,98.13714599609375
2022-02-11,BNO,25.690000534057617
2022-02-11,OIH,230.79129028320312
2022-02-11,USO,65.739997863769531
2022-02-11,XES,59.924324035644531
2022-02-11,XLE,29.911855697631836
2022-02-11,XOP,101.59651947021484
2022-02-14,BNO,25.959999084472656
2022-02-14,OIH,225.00059509277344
2022-02-14,USO,66.360000610351562
2022-02-14,XES,58.564998626708984
2022-02-14,XLE,29.206647872924805
2022-02-14,XOP,99.207046508789062
2022-02-15,BNO,25.190000534057617
2022-02-15,OIH,228.35655212402344
2022-02-15,USO,64.279998779296875
2022-02-15,XES,59.258922576904297
2022-02-15,XLE,28.900777816772461
2022-02-15,XOP,98.199562072753906
2022-02-16,BNO,24.850000381469727
2022-02-16,OIH,233.63961791992188
2022-02-16,USO,63.540000915527344
2022-02-16,XES,60.26654052734375
2022-02-16,XLE,29.134431838989258
2022-02-16,XOP,97.65570068359375
2022-02-17,BNO,25.129999160766602
2022-02-17,OIH,230.90411376953125
2022-02-17,USO,64.169998168945312
2022-02-17,XES,59.876796722412109
2022-02-17,XLE,29.087697982788086
2022-02-17,XOP,97.762687683105469
2022-02-18,BNO,25.319999694824219
2022-02-18,OIH,225.62101745605469
2022-02-18,USO,64.739997863769531
2022-02-18,XES,58.469944000244141
2022-02-18,XLE,28.909278869628906
2022-02-18,XOP,96.692756652832031
2022-02-22,BNO,25.829999923706055
2022-02-22,OIH,222.53765869140625
2022-02-22,USO,65.540000915527344
2022-02-22,XES,57.604915618896484
2022-02-22,XLE,28.441963195800781
2022-02-22,XOP,94.749099731445312
2022-02-23,BNO,26.049999237060547
2022-02-23,OIH,223.55291748046875
2022-02-23,USO,66.239997863769531
2022-02-23,XES,57.538383483886719
2022-02-23,XLE,28.735090255737305
2022-02-23,XOP,96.398567199707031
2022-02-24,BNO,26.510000228881836
2022-02-24,OIH,222.74447631835938
2022-02-24,USO,66.339996337890625
2022-02-24,XES,58.203784942626953
2022-02-24,XLE,28.509937286376953
2022-02-24,XOP,98.0390625
2022-02-25,BNO,26.280000686645508
2022-02-25,OIH,227.91471862792969
2022-02-25,USO,65.800003051757812
2022-02-25,XES,59.163867950439453
2022-02-25,XLE,29.261877059936523
2022-02-25,XOP,99.028732299804688
2022-02-28,BNO,27.159999847412109
2022-02-28,OIH,233.27302551269531
2022-02-28,USO,67.480003356933594
2022-02-28,XES,61.017490386962891
2022-02-28,XLE,29.984075546264648
2022-02-28,XOP,104.23561859130859
2022-03-01,BNO,29.370000839233398
2022-03-01,OIH,226.83369445800781
2022-03-01,USO,71.819999694824219
2022-03-01,XES,60.019386291503906
2022-03-01,XLE,30.285701751708984
2022-03-01,XOP,106.33084869384766
2022-03-02,BNO,31.600000381469727
2022-03-02,OIH,237.63482666015625
2022-03-02,USO,75.419998168945312
2022-03-02,XES,62.776054382324219
2022-03-02,XLE,30.978166580200195
2022-03-02,XOP,108.3369140625
2022-03-03,BNO,30.670000076293945
2022-03-03,OIH,238.06727600097656
2022-03-03,USO,74.529998779296875
2022-03-03,XES,63.194320678710938
2022-03-03,XLE,31.063135147094727
2022-03-03,XOP,107.23134613037109
2022-03-04,BNO,32.770000457763672
2022-03-04,OIH,245.700439453125
2022-03-04,USO,79.459999084472656
2022-03-04,XES,65.589759826660156
2022-03-04,XLE,31.959508895874023
2022-03-04,XOP,111.45748138427734
2022-03-07,BNO,34.159999847412109
2022-03-07,OIH,265.56365966796875
2022-03-07,USO,82.370002746582031
