ticker_a,ticker_b,execution_convention,model_version,holding_period_unit,formation_days,entry_z,exit_z,round_trip_cost_bps,initial_capital,gross_notional_per_trade,max_holding_sessions,stop_z,require_rolling_pass,require_regime_allowed,completed_trades,win_rate,total_pnl_dollars,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,exposure_pct,first_trade_date,last_trade_date,avg_days_held,median_days_held,avg_sessions_held,avg_gross_pnl_bps,avg_net_pnl_bps,total_net_pnl_bps,worst_net_pnl_bps,best_net_pnl_bps,coint_pvalue,adf_pvalue,half_life_days,return_corr,spread_std,group,subgroup,enough_trades,positive_return,ranking_score
CEF,GDX,signal_close_t_fill_close_t_plus_1,0.2.0,trading_sessions,504,2.0,0.5,4.0,100000,10000,,,False,False,14,0.7857142857142857,2183.386374196649,0.0218338637419663,0.002714298317491,0.0067899570513591,0.4026017751632676,-0.0128808253360702,0.3371513944223107,2019-06-25,2026-09-09,48.357142857142854,33.0,48.357142857142854,160.0235480621286,155.95616958547666,2183.3863741966734,-557.7004587226185,698.5078755769894,0.030843142428364,0.0075615527587099,41.28756933325215,0.7595506286957718,0.0731421038508415,metals,gold,True,True,4.485988149359898
IXJ,IYH,signal_close_t_fill_close_t_plus_1,0.2.0,trading_sessions,504,2.0,0.5,4.0,100000,10000,,,False,False,9,0.8888888888888888,306.2254534932581,0.0030622545349325,0.0003837932496426,0.0015226415817903,0.252770147598727,-0.0035329414445408,0.322211155378486,2019-06-11,2026-01-28,71.88888888888889,52.0,71.88888888888889,38.07087002968953,34.02505038813547,306.2254534932192,-141.38770558320934,108.52922388406957,0.0117191225501928,0.002468988671852,43.15465043356589,0.9750041251055566,0.0123906778171658,sector,healthcare,True,True,2.0709489901778055
