ticker_a,ticker_b,asset_class,group,subgroup,candidate_tier,overlap_days,return_corr,passes_pair_filter,n_obs,coint_stat,coint_pvalue,adf_stat,adf_pvalue,hedge_ratio,intercept,half_life_days,spread_mean,spread_std,passes_coint_filter,rank_score,recent_ticker_a,recent_ticker_b,recent_execution_convention,recent_model_version,recent_holding_period_unit,recent_formation_days,recent_entry_z,recent_exit_z,recent_round_trip_cost_bps,recent_initial_capital,recent_gross_notional_per_trade,recent_max_holding_sessions,recent_stop_z,recent_require_rolling_pass,recent_require_regime_allowed,recent_completed_trades,recent_win_rate,recent_total_pnl_dollars,recent_total_return,recent_annualized_return,recent_annualized_volatility,recent_sharpe,recent_max_drawdown,recent_exposure_pct,recent_first_trade_date,recent_last_trade_date,recent_avg_days_held,recent_median_days_held,recent_avg_sessions_held,recent_avg_gross_pnl_bps,recent_avg_net_pnl_bps,recent_total_net_pnl_bps,recent_worst_net_pnl_bps,recent_best_net_pnl_bps,recent_profit_factor,recent_max_hold_exit_pct,recent_selected_entry_z,recent_selected_exit_z,recent_selected_max_holding_sessions,recent_selected_stop_z,recent_selected_hmm_states,recent_train_trades_per_year,recent_validation_ticker_a,recent_validation_ticker_b,recent_validation_execution_convention,recent_validation_model_version,recent_validation_holding_period_unit,recent_validation_formation_days,recent_validation_entry_z,recent_validation_exit_z,recent_validation_round_trip_cost_bps,recent_validation_initial_capital,recent_validation_gross_notional_per_trade,recent_validation_max_holding_sessions,recent_validation_stop_z,recent_validation_require_rolling_pass,recent_validation_require_regime_allowed,recent_validation_completed_trades,recent_validation_win_rate,recent_validation_total_pnl_dollars,recent_validation_total_return,recent_validation_annualized_return,recent_validation_annualized_volatility,recent_validation_sharpe,recent_validation_max_drawdown,recent_validation_exposure_pct,recent_validation_first_trade_date,recent_validation_last_trade_date,recent_validation_avg_days_held,recent_validation_median_days_held,recent_validation_avg_sessions_held,recent_validation_avg_gross_pnl_bps,recent_validation_avg_net_pnl_bps,recent_validation_total_net_pnl_bps,recent_validation_worst_net_pnl_bps,recent_validation_best_net_pnl_bps,recent_validation_profit_factor,recent_validation_max_hold_exit_pct,train_start,subtrain_end,validation_start,validation_end,test_start,test_end,recent_tradability_score
EFA,EWU,cross_asset,single_country__international_equity,united_kingdom__developed_ex_us,country_region,2512,0.9016757335993869,True,378,-4.597898668297211,0.0008417127370853505,-4.603582284387725,0.00012722000364617908,0.8811717024011614,1.2292726388360506,9.030442068499177,3.721348207363917e-08,0.012806710787117481,True,156.0,EFA,EWU,signal_close_t_fill_close_t_plus_1,0.2.0,trading_sessions,252,2.0,0.5,4.0,100000,10000.0,20,3.0,False,False,4,0.75,119.09771231055493,0.0011909771231055633,0.002383372672718931,0.0012730990982521692,1.8705159832121174,-0.000637943359696469,0.1111111111111111,2025-04-04,2025-08-04,3.5,2.5,3.5,33.78573498239608,29.77442807764237,119.09771231056948,-61.8068863880363,84.6841851655804,2.9269327298393524,0.0,2.0,0.5,20,3.0,,2.6666666666666665,EFA,EWU,signal_close_t_fill_close_t_plus_1,0.2.0,trading_sessions,252,2.0,0.5,4.0,100000,10000.0,20,3.0,False,False,7,0.8571428571428571,177.3334721543215,0.0017733347215431738,0.003549814159121034,0.0016706268774524127,2.121920520335211,-0.0004573718753734246,0.1746031746031746,2025-10-21,2026-03-17,3.142857142857143,2.0,3.142857142857143,29.313701274033974,25.333353164907084,177.33347215434958,-43.83035369318412,110.17180179914939,5.045905570274373,0.0,2024-03-18,2025-09-18,2025-09-19,2026-03-20,2026-03-23,2026-09-21,3.248013805384865
GDX,GSIE,commodity,metals,gold,same_subgroup,2512,0.4489709989312818,True,378,-3.6632053009061862,0.02041863828730751,-3.658415976507779,0.004737580969464867,2.4303827383989898,-4.8655910775111835,9.93330171639678,1.0091791402544459e-08,0.06555822491645813,True,431.0,GDX,GSIE,signal_close_t_fill_close_t_plus_1,0.2.0,trading_sessions,252,2.0,1.0,4.0,100000,10000.0,20,3.0,False,False,6,0.8333333333333334,576.6489294879138,0.005766489294879218,0.011566230988546478,0.006763235171904923,1.703737774422622,-0.0028018901581314815,0.19047619047619047,2025-03-31,2025-09-03,4.0,2.5,4.0,100.16252408081819,96.1081549146517,576.6489294879102,-229.57291034585552,342.9580273814645,3.5118335112761296,0.0,2.0,1.0,20,3.0,,4.0,GDX,GSIE,signal_close_t_fill_close_t_plus_1,0.2.0,trading_sessions,252,2.0,1.0,4.0,100000,10000.0,20,3.0,False,False,3,0.6666666666666666,376.34064783233043,0.0037634064783234056,0.007540976184967851,0.007471130102980298,1.0092806761608009,-0.004638360596566415,0.24603174603174602,2025-09-22,2026-01-21,10.333333333333334,8.0,10.333333333333334,129.4362013035823,125.44688261078409,376.34064783235226,-196.25701161940273,361.4231819590868,2.917590840332278,0.0,2024-03-18,2025-09-18,2025-09-19,2026-03-20,2026-03-23,2026-09-21,2.893706544135318
FCG,USO,commodity,energy,energy_commodity,same_subgroup,2512,0.6600546996637089,True,378,-3.366874828953694,0.046165175324561304,-3.3621076589631844,0.012320471664162187,0.9453775266707964,-0.9130190360852808,9.541392543095743,1.0091791402544459e-08,0.03887355700135231,True,356.0,FCG,USO,signal_close_t_fill_close_t_plus_1,0.2.0,trading_sessions,252,2.0,0.5,4.0,100000,10000.0,40,3.0,False,False,4,0.75,568.2469537792786,0.005682469537792834,0.011397229535633713,0.006830089912035631,1.6626660086489735,-0.0028543433090371106,0.2698412698412698,2025-04-07,2025-07-22,8.5,8.0,8.5,146.0052035709274,142.06173844481663,568.2469537792665,-51.7009957556679,305.57575966387475,11.991025326953602,0.0,2.0,0.5,40,3.0,,2.6666666666666665,FCG,USO,signal_close_t_fill_close_t_plus_1,0.2.0,trading_sessions,252,2.0,0.5,4.0,100000,10000.0,40,3.0,False,False,3,0.6666666666666666,376.6123327176465,0.003766123327176407,0.007546430339268273,0.011144241307224566,0.680156541137895,-0.0054207239026417,0.4365079365079365,2025-12-01,2026-03-09,18.333333333333332,17.0,18.333333333333332,129.70097148969649,125.5374442392136,376.6123327176408,-357.54207957793005,379.7901798842945,2.0533370873778627,0.0,2024-03-18,2025-09-18,2025-09-19,2026-03-20,2026-03-23,2026-09-21,2.557936077221255
HYD,HYMB,fixed_income,municipal,national_muni,same_subgroup,2512,0.8761642772892432,True,378,-3.385269210885852,0.04401315585942515,-3.3732245933556992,0.011906221120828495,0.8483515615771395,1.1867985610998772,4.801253306425166,5.928927748755086e-08,0.0032834981102496386,True,378.0,HYD,HYMB,signal_close_t_fill_close_t_plus_1,0.2.0,trading_sessions,252,1.5,0.5,4.0,100000,10000.0,40,3.0,False,False,7,0.7142857142857143,72.41296566837991,0.0007241296566837807,0.0014487836771273077,0.0010511181224190944,1.3778540221429434,-0.0005425131365064395,0.5158730158730159,2025-04-10,2025-09-10,9.285714285714286,8.0,9.285714285714286,14.359130553239634,10.34470938119705,72.41296566837936,-40.590251465968294,33.56244531842687,2.3330794373588164,0.0,1.5,0.5,40,3.0,,4.666666666666667,HYD,HYMB,signal_close_t_fill_close_t_plus_1,0.2.0,trading_sessions,252,1.5,0.5,4.0,100000,10000.0,40,3.0,False,False,3,0.6666666666666666,25.02316404308658,0.00025023164043092017,0.0005005258967356596,0.0007084484377268032,0.7066853402919807,-0.0005109902639315322,0.5476190476190477,2025-09-22,2026-03-05,23.0,18.0,23.0,12.33914810540296,8.341054681021614,25.023164043064842,-16.893289400538784,25.162304667425367,2.481248763918457,0.3333333333333333,2024-03-18,2025-09-18,2025-09-19,2026-03-20,2026-03-23,2026-09-21,0.9433424818393069
SPLV,USMV,equity,factor,minimum_volatility,same_subgroup,2512,0.9298569334872155,True,378,-3.3957906757655825,0.04282015264302122,-3.3896837411264884,0.011315619864248951,1.013723785443613,-0.3140285926477162,10.584099728092713,3.847495690934011e-07,0.007564563304185867,True,278.0,SPLV,USMV,signal_close_t_fill_close_t_plus_1,0.2.0,trading_sessions,252,1.5,0.5,4.0,100000,10000.0,20,3.0,False,False,4,0.75,94.02082538318064,0.0009402082538318979,0.0018813004992244142,0.0014166650330240725,1.3274383700981167,-0.000987482971781084,0.2777777777777778,2025-03-31,2025-08-08,8.75,8.0,8.75,27.547987998923627,23.50520634579626,94.02082538318504,-12.92040562463345,58.714126712003626,8.276925207667572,0.0,1.5,0.5,20,3.0,,2.6666666666666665,SPLV,USMV,signal_close_t_fill_close_t_plus_1,0.2.0,trading_sessions,252,1.5,0.5,4.0,100000,10000.0,20,3.0,False,False,5,0.4,44.26627898008155,0.0004426627898008739,0.000885521529947253,0.0021035244579891378,0.42182824121857404,-0.001906640612892474,0.35714285714285715,2025-09-22,2026-03-03,9.0,8.0,9.0,12.853795820475062,8.853255796019521,44.26627898009761,-89.57204564265633,173.60061589012378,1.2766939838688418,0.2,2024-03-18,2025-09-18,2025-09-19,2026-03-20,2026-03-23,2026-09-21,0.935560672029932
