ticker_a,ticker_b,asset_class,group,subgroup,candidate_tier,overlap_days,return_corr,passes_pair_filter,n_obs,coint_stat,coint_pvalue,adf_stat,adf_pvalue,hedge_ratio,intercept,half_life_days,spread_mean,spread_std,passes_coint_filter,rank_score
IXJ,IYH,equity,sector,healthcare,same_subgroup,2512,0.9750041251055566,True,2512,-3.8470464550825976,0.011719122550192876,-3.8461405462330567,0.0024689886718520983,0.9057262424112309,0.7876691628593822,43.154650433565884,-6.102832372789635e-08,0.012390677817165852,True,65.0
CEF,GDX,commodity,metals,gold,same_subgroup,2512,0.7595506286957718,True,2512,-3.5178776427026333,0.030843142428364004,-3.5169807506161006,0.007561552758709957,0.8630601185149038,-0.045299309678263455,41.28756933325215,-7.5929484921744e-09,0.07314210385084152,True,313.0
IYR,XLRE,equity,sector,real_estate,same_subgroup,2512,0.9888028794643037,True,2512,-3.7856000889684354,0.01416682170701806,-3.7845976810815167,0.0030688909991462778,0.8106653263023054,1.5423318173819833,75.69837873752564,1.7957323450445983e-07,0.022061781957745552,False,83.0
QUAL,SPHQ,equity,factor,quality,same_subgroup,2512,0.9660460414488187,True,2512,-3.56706742620798,0.026895332131719494,-3.568837249592214,0.006385513738504416,0.9602872430428526,1.1398870707236757,73.4427611023996,9.073573181694883e-08,0.021826153621077538,False,90.0
IXJ,VHT,equity,sector,healthcare,same_subgroup,2512,0.971866283406748,True,2512,-3.2857251308052318,0.05672288589161808,-3.2848291920131953,0.015570379965313134,0.8980957921913517,-0.5101951046197346,61.21180480448859,1.5280808440820692e-07,0.015519902110099792,False,115.0
FENY,IYE,equity,sector,energy,same_subgroup,2512,0.9974507939066972,True,2512,-3.427767862044295,0.039358585527874454,-3.4269776037479653,0.010072873876222462,1.062260564456368,-0.9017758264524476,44.50393537256758,2.0339609818620374e-07,0.009625879116356373,False,119.0
PSLV,SLV,commodity,metals,silver,same_subgroup,2512,0.9762448608920014,True,2512,-3.0816756330209505,0.09204284455488565,-3.087437730382302,0.02749692893980264,0.9384659178007342,-0.7765650740964576,31.13357604252006,7.061441920086509e-08,0.021534476429224014,False,129.0
VFH,XLF,equity,sector,financials,same_subgroup,2512,0.9944418034813333,True,2512,-3.37039138484501,0.0457471537414389,-3.37073771708981,0.011997799915858762,0.9862978023045352,0.9405397115481957,65.60510774594901,-4.51780444166161e-08,0.010836117900907993,False,134.0
IWR,SCHB,equity,us_equity,same_group_corr,same_group_corr,2512,0.959238500421192,True,2512,-3.816077327984074,0.012901358531617509,-3.8152950677727526,0.0027546463822585385,0.7757083709658654,2.0744070498997917,73.28407379353389,-6.92856545470022e-08,0.03193372115492821,False,138.0
SCHR,VGIT,fixed_income,us_bonds,treasury,same_subgroup,2512,0.9877715304378951,True,2512,-7.867821504248762,6.4775751921856e-11,-7.866527422302578,5.117181953159489e-12,1.0011311879543943,-0.8760296133206786,0.8408835046697946,4.0812096813169774e-08,0.00034450239036232233,False,140.0
IWR,IWV,equity,us_equity,same_group_corr,same_group_corr,2512,0.959969873552479,True,2512,-3.701229975542354,0.01825879202363728,-3.700463879232911,0.004106633991623405,0.7837882594351138,-0.0597203287763417,75.30540714413739,7.308212701673256e-08,0.031654827296733856,False,147.0
IJH,MDY,equity,us_equity,mid_blend,same_subgroup,2512,0.9991820278901816,True,2512,-3.4074532725792497,0.04152935893132698,-3.4067160895194006,0.010732040193720153,1.0232289676693123,-2.3629597959502178,14.205857396258248,-1.4445583929045824e-07,0.002010756405070424,False,155.0
IWV,SCHB,equity,us_equity,total_market,same_subgroup,2512,0.9982690378621966,True,2512,-3.6088310262159857,0.02389182260138074,-3.6079387780601357,0.005611056571290339,0.9897904535287645,2.7225725671166963,2.0694801431548497,3.976806794980803e-08,0.0008535286760888994,False,158.0
FDVV,IVE,equity,factor,value__dividend,related_subgroup,2512,0.9579774604404205,True,2512,-3.1600187178008965,0.07687235263614957,-3.1601142303826495,0.022412654208063047,1.1490822594936723,-2.1527674457565453,68.73653774035705,-2.378491075205602e-07,0.026616008952260017,False,167.0
