Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2023-01-03,123.09603881835938,128.83401910387516,122.21024188035268,128.22380927578908,112117500
2023-01-04,124.36566162109375,126.62936374107429,123.10586505340991,124.88729543343348,89113600
2023-01-05,123.04681396484375,125.75341088924934,122.79092293482029,125.12351256937882,80962700
2023-01-06,127.57420349121094,128.23362708296847,122.91886125861728,124.02118700839063,87754700
2023-01-09,128.09585571289062,131.30441322455866,127.83996466106093,128.4108124086458,70790800
2023-01-10,128.66668701171875,129.18832083166095,126.09787998496417,128.20410381019116,63896200
2023-01-11,131.38314819335938,131.402821722743,128.40097153395064,129.17849644752224,69458900
2023-01-12,131.3043670654297,132.14094233575875,129.36545876543678,131.7669501634761,71379600
2023-01-13,132.63307189941406,132.7905502170586,129.58200833933589,129.94616380817476,57809700
2023-01-17,133.79446411132812,135.12314807764807,132.01303370787318,132.7019826183309,63646600
2023-01-18,133.07598876953125,136.42232060237055,132.8988218980733,134.6605787592018,69672800
2023-01-19,133.1350555419922,134.0995841255356,131.6587298451973,131.9638347529944,58280400
2023-01-20,135.6939697265625,135.84161126203279,132.1015842994744,133.1448517377868,80223600
2023-01-23,138.8828582763672,141.0579844042408,135.72351517113088,135.94004410758743,81760300
2023-01-24,140.28045654296875,140.90051809732327,138.0856567013407,138.0954934654877,66435100
2023-01-25,139.6210174560547,140.18201330953534,136.61915274790366,138.6663258108729,65799300
2023-01-26,141.68789672851562,141.9733130723702,139.66039693887691,140.91035682918778,54105100
2023-01-27,143.62677001953125,144.9062550377642,140.82176076743906,140.90049992434123,70555800
2023-01-30,140.74302673339844,143.2527830109075,140.59540019505755,142.67209860282117,64015300
2023-01-31,142.01268005371094,142.06189391275458,140.0344090710312,140.4477784546675,65874500
2023-02-01,143.13461303710938,144.29599643531927,139.08949722530025,141.69766521008182,77663600
2023-02-02,148.4396209716797,148.79392468833726,145.83143680858885,146.54991104174482,118339000
2023-02-03,152.06153869628906,154.8960886893848,145.496812581912,145.6936529941079,154357300
2023-02-06,149.33523559570312,150.68362304726807,148.40023248441526,150.16198925829823,69858300
2023-02-07,152.2091522216797,152.77999988075524,148.2624474794368,148.2624474794368,83322600
2023-02-08,149.5222625732422,152.14028370808583,148.7840997356859,151.45133472995892,64120100
2023-02-09,148.4888153076172,151.89421276586904,148.04592065726195,151.35289040745275,56007100
2023-02-10,148.85354614257812,149.1788354914484,147.08911426452642,147.32569243849323,57450700
2023-02-13,151.6529998779297,152.05713357186568,148.76483299254943,148.79440338379132,62199000
2023-02-14,151.01226806640625,151.5741355635304,148.7056873791277,149.9476888936107,61707600
2023-02-15,153.11187744140625,153.2794480234058,150.69686663828347,150.92357800911904,65573800
2023-02-16,151.5150146484375,154.0975960108758,151.16015487764588,151.3178586328593,68167900
2023-02-17,150.37158203125,150.81515300249052,148.69586111717868,150.17444104857563,59144100
2023-02-21,146.35964965820312,149.1393862953431,146.29065710385296,148.05508866222715,58867200
2023-02-22,146.78350830078125,147.80865006019064,145.05849901188733,146.74407109413818,51011300
2023-02-23,147.2665252685547,148.1931042440918,145.1373820304515,147.94667430552937,48394200
2023-02-24,144.6149444580078,145.0880857046954,143.6390765358812,145.0092263234326,55469600
2023-02-27,145.80767822265625,147.03982803359767,145.344388690471,145.6006854773172,44998500
2023-02-28,145.3049774169922,146.95112788301643,144.73325805691135,144.95011764317968,50547000
2023-03-01,143.23492431640625,145.12750429739225,142.9392054041828,144.73322244168676,55479000
2023-03-02,143.82638549804688,144.6149643784106,141.8450789930105,142.31823534576338,52238100
2023-03-03,148.8732452392578,148.95210462024477,145.2260853537234,145.9259379185379,70732300
2023-03-06,151.63327026367188,154.06799923846452,151.26855877090114,151.59383305095145,87558000
2023-03-07,149.4351043701172,151.83039589059405,148.9718149331636,151.50510660246357,56182000
2023-03-08,150.68698120117188,151.278419098267,149.66183922588297,150.62784041964048,47204800
2023-03-09,148.43951416015625,152.33310365607178,148.08465449485655,151.36710263865677,53833600
2023-03-10,146.37939453125,148.78455331931613,145.50210448552664,148.0649820559655,68572400
2023-03-13,148.3212432861328,150.95311305935627,145.59079552733544,145.69922529511118,84457100
2023-03-14,150.4109649658203,151.2093955139033,147.95653254628945,149.11967456920323,73695900
2023-03-15,150.8052520751953,151.0615337650689,147.77908558210245,149.03095372752588,77167900
2023-03-16,153.62445068359375,154.22574041738864,149.47456333381393,149.98714188743216,76161100
2023-03-17,152.78656005859375,154.50171782493953,152.07684064085686,153.8511391851991,98944600
2023-03-20,155.15228271484375,155.5662982460434,151.94869352566715,152.85556893212473,73641400
2023-03-21,157.0054473876953,157.1237289497417,154.3045697408097,155.07344501678244,73938300
2023-03-22,155.57615661621094,159.82460651427928,155.5564380089166,157.0251659140942,75701800
2023-03-23,156.66041564941406,159.2430113419942,155.4282660956086,156.5618527096425,67622100
2023-03-24,157.96157836914062,158.0502895303303,155.59585715875076,156.59142861861952,59196500
2023-03-27,156.01974487304688,158.47419284355544,155.6155961034445,157.65604352005258,52390300
2023-03-28,155.39871215820312,156.22672817707905,153.7525619849842,155.714149696992,45992200
2023-03-29,158.47418212890625,158.75018247951246,157.07446176772007,157.09416533498404,51305700
2023-03-30,160.04144287109375,160.14987263415844,158.96701206310877,159.2232937572216,49501700
2023-03-31,162.545166015625,162.64374399803975,159.59787385661696,160.1203040734608,68749800
2023-04-03,163.79702758789062,163.91530912930577,161.87487733545584,161.92416632467473,56976200
2023-04-04,163.26478576660156,164.4574983782598,162.75220722625122,164.22093523724538,46278300
2023-04-05,161.42144775390625,162.69303455117807,159.489445623491,162.38746386000238,51511700
2023-04-06,162.30860900878906,162.60432792623257,159.68659100348637,160.1104432538072,45390100
2023-04-10,159.71617126464844,159.71617126464844,157.7940207437735,159.11488161033475,47716900
2023-04-11,158.50375366210938,160.0414742096721,158.21788648492154,160.03162242596915,47644200
2023-04-12,157.81375122070312,159.74575366976245,157.49831365463328,158.9177526201656,50133100
2023-04-13,163.19580078125,163.432378995954,159.11492058319098,159.32192840116866,68445600
2023-04-14,162.8507843017578,163.94493394539444,161.48063430124813,162.23962776220338,49386500
2023-04-17,162.8704833984375,163.02820218114718,161.6876226098968,162.73248322378927,41516200
2023-04-18,164.09274291992188,165.01932174992547,163.28444562876558,163.72803148121778,49923000
2023-04-19,165.23622131347656,165.75865162452376,163.1760554202755,163.43235220441335,47720200
2023-04-20,164.2702178955078,165.47279739564374,163.19578679746758,163.71821714939145,52456400
2023-04-21,162.6634979248047,164.07307012591417,162.141067594516,162.6930683177726,58337300
2023-04-24,162.9690399169922,163.23518844762253,161.5496011414824,162.64375061086378,41949600
2023-04-25,161.4313507080078,163.93507261234095,161.3919134894812,162.8310711478655,48714100
2023-04-26,161.42144775390625,162.91974586384254,160.47516529354857,160.73144699304368,45498800
2023-04-27,166.00506591796875,166.1529178634098,162.83104713478986,162.83104713478986,64902300
2023-04-28,167.25689697265625,167.42448254310634,165.48261369922477,166.08390326571939,55275900
2023-05-01,167.16822814941406,168.01594783420873,166.23179728666088,166.8626573980738,52472900
2023-05-02,166.1332244873047,167.91739013162538,165.14750459229282,167.66109333275145,48425700
2023-05-03,165.0587921142578,168.47924132633688,164.7729399649435,167.07952089132834,65136000
2023-05-04,163.42247009277344,164.65461977543495,161.96360907995128,162.535328337613,81235400
2023-05-05,171.0913848876953,171.8109560965244,168.32149974515366,168.5383592942621,113453200
2023-05-08,171.02236938476562,171.3673772990156,169.65221959190652,170.01693107088172,55962800
2023-05-09,169.3170928955078,171.06180609803263,169.14952233576255,170.57881302608763,45326900
2023-05-10,171.0814971923828,171.5447866234223,169.44519899087683,170.54921520825656,53724500
2023-05-11,171.26881408691406,172.09681510347738,169.71137500858376,171.36739208260082,49514700
2023-05-12,170.3409423828125,171.8116866019269,168.79121464447562,171.3773676163626,45533100
2023-05-15,169.847412109375,170.97268634600138,169.2551561693846,170.92332917405315,37266700
2023-05-16,169.847412109375,170.903583292935,169.58089543020992,169.76844364659667,42110300
2023-05-17,170.45941162109375,170.69630196545663,168.21872838992437,169.4920742376562,57951600
2023-05-18,172.78890991210938,172.97645812210007,170.35081330561755,170.76538642479474,65496700
2023-05-19,172.89752197265625,174.11163026725697,172.68036243226308,174.11163026725697,55809500
2023-05-22,171.9499053955078,172.45332751081392,171.2095929310653,171.73274586766902,43570900
2023-05-23,169.34400939941406,171.1405082441651,169.06762727894406,170.89373741791002,50747300
2023-05-24,169.62037658691406,170.19288666082696,168.317434571077,168.88006417332414,45143500
2023-05-25,170.7554931640625,171.65372724492494,169.47228225494172,170.18298321809505,56058300
2023-05-26,173.16400146484375,173.49962120538788,170.87397623432938,171.08127033696854,54835000
2023-05-30,175.00987243652344,176.6780456265802,174.28930584342234,174.6742677286896,55964400
2023-05-31,174.9604949951172,177.03337571367211,174.4768188110026,175.03946345752533,99625300
2023-06-01,177.7637939453125,177.79340523372372,174.64460769798924,175.40466591116137,68901800
2023-06-02,178.61273193359375,179.43201293417297,176.94455863641292,178.6917004102191,61996900
2023-06-05,177.26039123535156,182.56102285189482,175.7402747725204,180.27099781019854,121946500
2023-06-06,176.8951873779297,177.79342164547316,175.13816542041533,177.64536518975015,64848400
2023-06-07,175.5231475830078,178.86935913776645,175.02960596689772,176.135134367242,61944600
2023-06-08,178.23764038085938,178.5041420299357,175.1678106866245,175.6021146908698,50214900
2023-06-09,178.62257385253906,179.8761586114367,178.29683460490384,179.15559212759166,48900000
2023-06-12,181.416015625,181.51472997018058,178.63244881890137,178.92857679274874,54274900
